8026433.522257191+0i,0.4572100113376834-0.1134476687395151i,0.0003253713931900845+0.003528479785627263i,-56.48219618540421+5.212287004736512i,0.985049931390577-0.1625349864123464i,1.373560954614735+0i,-0.1170574456379179+0.0004917024033432586i,6.308613997429148+0i
8603464.416684521+0i,0.4556703642446531-0.1214517324248495i,0.0003733689720466449+0.003777413340233255i,-56.41145335874938+5.580028586194056i,0.9828445526982108-0.1740023482574745i,1.373561859887742+0i,-0.117057814215445+0.0005270511073737108i,6.308614170969121+0i
9221978.823334348+0i,0.4539061252904706-0.1299965614963972i,0.0004283680672804878+0.004043162629669891i,-56.33039111336402+5.972615180457451i,0.9803174703425055-0.1862444710304684i,1.373562900001315+0i,-0.117058237692232+0.000564940976712894i,6.308614370358605+0i
9884959.046625607+0i,0.4518853315255218-0.1391132122490611i,0.0004913651043920492+0.004326692772840651i,-56.2375408338814+6.391473617383394i,0.9774229008379671-0.1993058519535244i,1.373564095039791+0i,-0.1170587242453866+0.0006055546760071787i,6.308614599446942+0i
10595601.79277618+0i,0.4495717223839912-0.1488332460582214i,0.0005634904843678297+0.004628984415208363i,-56.13123644052185+6.838053924830835i,0.9741089048260561-0.2132317126165663i,1.373565468079088+0i,-0.1170592832698703+0.0006490879965694778i,6.308614862658398+0i
11357333.58343108+0i,0.4469242409467997-0.1591883990125384i,0.0006460241314668058+0.004951023413987681i,-56.00959147340836+7.313814148477223i,0.9703166726878685-0.2280675258263519i,1.373567045632176+0i,-0.1170599255599717+0.0006957507988254861i,6.308615165075509+0i
12173827.27739664+0i,0.4438965027456661-0.170210156031431i,0.0007404120528794418+0.005293787544555852i,-55.87047468548105+7.820200782903091i,0.9659797636629168-0.2438584056448482i,1.373568858160998+0i,-0.1170606635176779+0.0007457680222388135i,6.308615512537625+0i
13049019.78014406+0i,0.4404362389851693-0.1819292110172457i,0.0008482836958728074+0.005658229652830053i,-55.71148445998493+8.358623966212099i,0.9610233083243698-0.2606483341896072i,1.373570940664679+0i,-0.1170615113920541+0.0007993807674915224i,6.308615911754915+0i
13987131.02647242+0i,0.4364847250338435-0.1943747924260834i,0.0009714697641421548+0.006045256610828044i,-55.5299225511089+8.930426490929056i,0.9553631899536799-0.2784791956662634i,1.373573333355241+0i,-0.1170624855543986+0.0008568474560211434i,6.308616370435918+0i
14992684.3278605+0i,0.4319762101798765-0.2075738317481624i,0.001112019994710461+0.006455703373606359i,-55.32276788273079+9.536845596935493i,0.9489052277264924-0.2973895853916545i,1.373576082433986+0i,-0.1170636048142372+0.0009184450723785267i,6.308616897437822+0i
